"조사연도","행정구역시도코드","논_금년경지합계면적","밭_금년경지합계면적","계_금년경지합계면적","논_규반합계면적","밭_규반합계면적","계_규반합계면적","논_가경합계면적","밭_가경합계면적","계_가경합계면적"
2021,11,0,106.863,106.863,0,2.5252,2.5252,0,104.3378,104.3378
2021,11,0,15.8617,15.8617,0,.2966,.2966,0,15.5651,15.5651
2021,11,0,33.4421,33.4421,0,1.1846,1.1846,0,32.2575,32.2575
2021,11,0,83.8144,83.8144,0,2.8215,2.8215,0,80.9929,80.9929
2021,11,35.5963,36.2421,71.8384,1.9402,1.1134,3.0536,33.6561,35.1287,68.7848
2021,11,4.7661,92.7445,97.5106,.0901,3.3337,3.4238,4.676,89.4108,94.0868
2021,11,51.9817,18.0872,70.0689,2.4151,1.3999,3.815,49.5666,16.6873,66.2539
2021,11,9.5524,33.4485,43.0009,.5102,.8292,1.3394,9.0422,32.6193,41.6615
2021,11,93.9518,2.1831,96.1349,2.9688,.0739,3.0427,90.983,2.1092,93.0922
2021,21,-.6152,109.5695,108.9543,-.0254,3.3447,3.3193,-.5898,106.2248,105.635
2021,21,100.4404,538.6149,639.0553,2.4651,15.7631,18.2282,97.9753,522.8518,620.8271
2021,21,1098.1847,197.132,1295.3167,23.8728,7.2436,31.1164,1074.3119,189.8884,1264.2003
2021,21,20.1003,172.4316,192.5319,.6532,5.4843,6.1375,19.4471,166.9473,186.3944
2021,21,30.5368,.0383,30.5751,.592,.001,.593,29.9448,.0373,29.9821
2021,21,409.8638,218.177,628.0408,11.6843,8.698,20.3823,398.1795,209.479,607.6585
2021,21,448.281,849.8225,1298.1035,7.9031,22.2895,30.1926,440.3779,827.533,1267.9109
2021,21,72.0415,255.0071,327.0486,2.4182,10.6644,13.0826,69.6233,244.3427,313.966
2021,21,99.0061,423.0076,522.0137,2.4008,12.1833,14.5841,96.6053,410.8243,507.4296
2021,22,100.8481,606.2406,707.0887,3.9183,19.8049,23.7232,96.9298,586.4357,683.3655
2021,22,101.7593,560.9281,662.6874,3.0592,17.1941,20.2533,98.7001,543.734,642.4341
2021,22,143.8482,546.9439,690.7921,5.5023,18.2772,23.7795,138.3459,528.6667,667.0126
2021,22,24.2488,866.2215,890.4703,.2068,24.521,24.7278,24.042,841.7005,865.7425
2021,22,304.1543,558.9869,863.1412,9.7937,13.1329,22.9266,294.3606,545.854,840.2146
2021,22,408.2672,116.787,525.0542,13.5932,4.7981,18.3913,394.674,111.9889,506.6629
2021,22,579.6422,347.2986,926.9408,15.7785,7.7046,23.4831,563.8637,339.594,903.4577
2021,22,66.061,296.172,362.233,2.491,7.929,10.42,63.57,288.243,351.813
2021,22,931.3559,478.1599,1409.5158,30.5787,14.1745,44.7532,900.7772,463.9854,1364.7626
2021,23,1060.9241,701.0185,1761.9426,44.1224,26.0854,70.2078,1016.8017,674.9331,1691.7348
2021,23,2546.3224,513.0572,3059.3796,94.2815,21.0987,115.3802,2452.0409,491.9585,2943.9994
2021,23,256.3598,607.6239,863.9837,11.0408,19.8875,30.9283,245.319,587.7364,833.0554
2021,23,262.3604,1046.4246,1308.785,10.4874,36.7302,47.2176,251.873,1009.6944,1261.5674
2021,23,353.4894,1546.1187,1899.6081,16.0482,57.0794,73.1276,337.4412,1489.0393,1826.4805
2021,23,41.0554,205.5426,246.598,1.8036,8.7441,10.5477,39.2518,196.7985,236.0503
2021,23,7792.0509,197.668,7989.7189,312.0748,7.1894,319.2642,7479.9761,190.4786,7670.4547
2021,23,9.0366,127.3773,136.4139,.4317,4.2524,4.6841,8.6049,123.1249,131.7298
2021,23,91.5871,262.0509,353.638,4.08,8.7107,12.7907,87.5071,253.3402,340.8473
2021,24,138.9418,723.3169,862.2587,3.9173,21.4237,25.341,135.0245,701.8932,836.9177
2021,24,1451.7124,270.0792,1721.7916,50.1149,9.9486,60.0635,1401.5975,260.1306,1661.7281
2021,24,1491.9424,723.1552,2215.0976,50.668,26.3519,77.0199,1441.2744,696.8033,2138.0777
2021,24,198.3663,690.0087,888.375,6.2753,23.8149,30.0902,192.091,666.1938,858.2848
2021,24,34.2462,165.3321,199.5783,.9732,5.0686,6.0418,33.273,160.2635,193.5365
2021,24,373.0416,637.1833,1010.2249,10.5563,23.246,33.8023,362.4853,613.9373,976.4226
2021,24,49.9809,331.9535,381.9344,1.9077,10.8976,12.8053,48.0732,321.0559,369.1291
2021,24,70.3244,521.2577,591.5821,2.6727,19.1461,21.8188,67.6517,502.1116,569.7633
2021,24,771.051,726.3215,1497.3725,22.8953,26.2573,49.1526,748.1557,700.0642,1448.2199
2021,25,135.9766,515.8241,651.8007,4.3084,11.4465,15.7549,131.6682,504.3776,636.0458
2021,25,145.7087,1053.3306,1199.0393,3.8196,29.7086,33.5282,141.8891,1023.622,1165.5111
2021,25,17.8238,255.5707,273.3945,.3178,6.9508,7.2686,17.506,248.6199,266.1259
2021,25,28.3047,186.5328,214.8375,.5538,3.5746,4.1284,27.7509,182.9582,210.7091
2021,25,32.2627,231.6136,263.8763,.7387,5.2392,5.9779,31.524,226.3744,257.8984
2021,25,357.3835,248.329,605.7125,10.1167,6.8039,16.9206,347.2668,241.5251,588.7919
2021,25,360.7817,83.4499,444.2316,11.1145,2.3686,13.4831,349.6672,81.0813,430.7485
2021,25,49.9956,0,49.9956,1.6106,0,1.6106,48.385,0,48.385
2021,25,9.1804,249.0208,258.2012,.205,7.1475,7.3525,8.9754,241.8733,250.8487
2021,26,1019.8858,692.8711,1712.7569,37.9662,33.3717,71.3379,981.9196,659.4994,1641.419
2021,26,107.6935,612.8746,720.5681,4.5962,29.3151,33.9113,103.0973,583.5595,686.6568
2021,26,130.0348,211.7123,341.7471,5.0524,12.254,17.3064,124.9824,199.4583,324.4407
2021,26,145.5558,505.0185,650.5743,5.3633,28.4577,33.821,140.1925,476.5608,616.7533
2021,26,1760.3968,471.3433,2231.7401,60.683,18.0372,78.7202,1699.7138,453.3061,2153.0199
2021,26,180.6774,1171.5529,1352.2303,7.6731,67.6871,75.3602,173.0043,1103.8658,1276.8701
2021,26,288.8309,914.3432,1203.1741,12.3165,47.2036,59.5201,276.5144,867.1396,1143.654
2021,26,54.1645,268.5093,322.6738,1.2964,12.9028,14.1992,52.8681,255.6065,308.4746
2021,26,736.6072,1.7006,738.3078,22.1337,.1023,22.236,714.4735,1.5983,716.0718
2021,29,118.6666,713.4188,832.0854,3.3629,19.4195,22.7824,115.3037,693.9993,809.303
2021,29,12.0857,83.8822,95.9679,.4444,2.3759,2.8203,11.6413,81.5063,93.1476
2021,29,1339.3882,316.8892,1656.2774,44.6663,8.4026,53.0689,1294.7219,308.4866,1603.2085
2021,29,140.4101,116.7359,257.146,4.2429,2.0166,6.2595,136.1672,114.7193,250.8865
2021,29,237.6976,590.2546,827.9522,8.7609,16.2214,24.9823,228.9367,574.0332,802.9699
2021,29,238.8682,1054.0296,1292.8978,9.3778,29.2543,38.6321,229.4904,1024.7753,1254.2657
2021,29,647.972,41.0064,688.9784,14.5857,.7908,15.3765,633.3863,40.2156,673.6019
2021,29,877.65,542.1264,1419.7764,33.0415,15.8489,48.8904,844.6085,526.2775,1370.886
2021,29,90.8674,195.6989,286.5663,3.0551,5.2417,8.2968,87.8123,190.4572,278.2695
2021,31,14167.2213,9294.5692,23461.7905,497.6994,308.1153,805.8147,13669.5219,8986.4539,22655.9758
2021,31,1555.6707,7075.4534,8631.1241,57.1888,228.6137,285.8025,1498.4819,6846.8397,8345.3216
2021,31,1714.5797,6998.4361,8713.0158,49.0361,157.8418,206.8779,1665.5436,6840.5943,8506.1379
2021,31,26250.468,5417.3316,31667.7996,771.0851,200.4083,971.4934,25479.3829,5216.9233,30696.3062
2021,31,28710.6491,1527.6106,30238.2597,617.1417,57.0822,674.2239,28093.5074,1470.5284,29564.0358
2021,31,3465.881,16945.21,20411.091,135.8653,520.4938,656.3591,3330.0157,16424.7162,19754.7319
2021,31,3527.009,14026.4528,17553.4618,137.7779,451.8581,589.636,3389.2311,13574.5947,16963.8258
2021,31,769.18,6849.5538,7618.7338,30.9459,201.6876,232.6335,738.2341,6647.8662,7386.1003
2021,31,788.9805,3268.4467,4057.4272,28.4143,104.3287,132.743,760.5662,3164.118,3924.6842
2021,32,10977.9746,812.7458,11790.7204,425.3866,27.1253,452.5119,10552.588,785.6205,11338.2085
2021,32,160.0091,2327.6893,2487.6984,7.1538,87.2709,94.4247,152.8553,2240.4184,2393.2737
2021,32,2189.8761,23681.9703,25871.8464,98.7328,905.0151,1003.7479,2091.1433,22776.9552,24868.0985
2021,32,2265.2515,15847.7448,18112.9963,97.1929,608.6552,705.8481,2168.0586,15239.0896,17407.1482
2021,32,480.7346,2350.5235,2831.2581,19.7391,83.5958,103.3349,460.9955,2266.9277,2727.9232
2021,32,508.1207,4693.0471,5201.1678,22.069,174.8501,196.9191,486.0517,4518.197,5004.2487
2021,32,5547.886,4398.4651,9946.3511,248.9327,170.7003,419.633,5298.9533,4227.7648,9526.7181
2021,32,690.642,13809.5467,14500.1887,30.7908,522.6782,553.469,659.8512,13286.8685,13946.7197
2021,32,8897.7996,2488.1907,11385.9903,379.1274,103.8324,482.9598,8518.6722,2384.3583,10903.0305
2021,33,1047.3248,14263.0193,15310.3441,25.1292,337.1628,362.292,1022.1956,13925.8565,14948.0521
2021,33,11347.167,2544.3702,13891.5372,263.0492,56.9351,319.9843,11084.1178,2487.4351,13571.5529
2021,33,1211.7958,3024.0361,4235.8319,27.1588,64.552,91.7108,1184.637,2959.4841,4144.1211
2021,33,2543.1615,15402.3103,17945.4718,58.6622,324.3484,383.0106,2484.4993,15077.9619,17562.4612
2021,33,2553.8066,14482.8887,17036.6953,64.1071,326.6179,390.725,2489.6995,14156.2708,16645.9703
2021,33,524.1137,2851.3703,3375.484,10.6833,53.2677,63.951,513.4304,2798.1026,3311.533
2021,33,650.8898,3940.8748,4591.7646,16.1997,87.2595,103.4592,634.6901,3853.6153,4488.3054
2021,33,7528.1099,802.6309,8330.7408,151.2702,17.9914,169.2616,7376.8397,784.6395,8161.4792
2021,33,7942.5144,5380.7023,13323.2167,186.2433,121.7282,307.9715,7756.2711,5258.9741,13015.2452
2021,34,19543.6606,11647.243,31190.9036,617.6408,378.3744,996.0152,18926.0198,11268.8686,30194.8884
2021,34,2761.9074,9367.9823,12129.8897,96.4076,331.6819,428.0895,2665.4998,9036.3004,11701.8002
2021,34,3534.8252,6120.8696,9655.6948,80.9971,158.3214,239.3185,3453.8281,5962.5482,9416.3763
2021,34,3926.9712,14039.0911,17966.0623,137.1104,466.991,604.1014,3789.8608,13572.1001,17361.9609
2021,34,40645.9838,6742.0421,47388.0259,1105.9906,219.3015,1325.2921,39539.9932,6522.7406,46062.7338
2021,34,5003.7694,17485.6046,22489.374,152.6898,555.9666,708.6564,4851.0796,16929.638,21780.7176
2021,34,64968.023,1436.8044,66404.8274,1270.6484,37.6489,1308.2973,63697.3746,1399.1555,65096.5301
2021,34,730.1811,2316.3978,3046.5789,21.2132,65.5917,86.8049,708.9679,2250.8061,2959.774
2021,34,809.475,6344.6287,7154.1037,23.7708,186.6278,210.3986,785.7042,6158.0009,6943.7051
2021,35,1036.6214,6371.1226,7407.744,35.3701,243.9184,279.2885,1001.2513,6127.2042,7128.4555
2021,35,14816.582,8738.0408,23554.6228,409.7897,320.5624,730.3521,14406.7923,8417.4784,22824.2707
2021,35,2188.3101,3349.8078,5538.1179,45.1344,101.527,146.6614,2143.1757,3248.2808,5391.4565
2021,35,2418.6672,9709.8959,12128.5631,69.9105,363.8551,433.7656,2348.7567,9346.0408,11694.7975
2021,35,3134.9134,12093.2993,15228.2127,97.578,444.9264,542.5044,3037.3354,11648.3729,14685.7083
2021,35,34476.1225,5027.9525,39504.075,797.965,172.6585,970.6235,33678.1575,4855.294,38533.4515
2021,35,3731.6229,17872.4287,21604.0516,108.4758,663.6591,772.1349,3623.1471,17208.7696,20831.9167
2021,35,61414.9956,815.1216,62230.1172,1107.5878,21.4479,1129.0357,60307.4078,793.6737,61101.0815
2021,35,685.8839,3719.6105,4405.4944,19.3325,140.7605,160.093,666.5514,3578.85,4245.4014
2021,36,1111.0872,5883.6747,6994.7619,40.8074,219.6378,260.4452,1070.2798,5664.0369,6734.3167
2021,36,1792.7009,3733.1734,5525.8743,63.6943,138.2232,201.9175,1729.0066,3594.9502,5323.9568
2021,36,22180.3826,13687.3072,35867.6898,869.4201,573.0293,1442.4494,21310.9625,13114.2779,34425.2404
2021,36,2449.196,17790.049,20239.245,100.6898,699.4905,800.1803,2348.5062,17090.5585,19439.0647
2021,36,3868.8224,14105.5029,17974.3253,142.8668,538.2705,681.1373,3725.9556,13567.2324,17293.188
2021,36,3924.0242,24100.5334,28024.5576,149.9277,938.4512,1088.3789,3774.0965,23162.0822,26936.1787
2021,36,44071.4217,9219.5421,53290.9638,1681.3382,380.3454,2061.6836,42390.0835,8839.1967,51229.2802
2021,36,5561.8091,22539.2875,28101.0966,205.9306,846.253,1052.1836,5355.8785,21693.0345,27048.913
2021,36,82339.5312,2718.8064,85058.3376,2858.6223,90.9156,2949.5379,79480.9089,2627.8908,82108.7997
2021,37,1293.3577,6232.5651,7525.9228,49.7711,208.6243,258.3954,1243.5866,6023.9408,7267.5274
2021,37,19230.51,13677.3235,32907.8335,730.7553,517.668,1248.4233,18499.7547,13159.6555,31659.4102
2021,37,25399.3424,861.7358,26261.0782,924.3079,33.9878,958.2957,24475.0345,827.748,25302.7825
2021,37,2841.6103,8258.7701,11100.3804,105.7411,254.3,360.0411,2735.8692,8004.4701,10740.3393
2021,37,3294.9435,17217.0117,20511.9552,122.7106,624.9939,747.7045,3172.2329,16592.0178,19764.2507
2021,37,33526.8573,6965.2756,40492.1329,1265.4676,258.7891,1524.2567,32261.3897,6706.4865,38967.8762
2021,37,3629.2048,13602.1672,17231.372,144.0587,487.8282,631.8869,3485.1461,13114.339,16599.4851
2021,37,5649.3314,18115.2177,23764.5491,215.5901,664.615,880.2051,5433.7413,17450.6027,22884.344
2021,37,7534.2608,61943.2886,69477.5494,274.9182,2411.0802,2685.9984,7259.3426,59532.2084,66791.551
2021,38,1055.5041,3979.9739,5035.478,31.2535,128.1868,159.4403,1024.2506,3851.7871,4876.0377
2021,38,12763.9617,8577.8692,21341.8309,401.3136,297.3014,698.615,12362.6481,8280.5678,20643.2159
2021,38,13951.0249,1518.4783,15469.5032,327.5287,51.6022,379.1309,13623.4962,1466.8761,15090.3723
2021,38,1685.7283,7883.2563,9568.9846,57.3008,291.1081,348.4089,1628.4275,7592.1482,9220.5757
2021,38,1868.8682,19848.7311,21717.5993,64.2064,684.733,748.9394,1804.6618,19163.9981,20968.6599
2021,38,23124.4959,6323.3178,29447.8137,634.6856,209.7342,844.4198,22489.8103,6113.5836,28603.3939
2021,38,3257.6272,7126.4764,10384.1036,92.8325,274.8577,367.6902,3164.7947,6851.6187,10016.4134
2021,38,3299.3463,8731.0375,12030.3838,108.5031,331.6305,440.1336,3190.8432,8399.407,11590.2502
2021,38,4484.251,8704.7085,13188.9595,107.1957,203.7402,310.9359,4377.0553,8500.9683,12878.0236
2021,39,0,10580.5172,10580.5172,0,328.5547,328.5547,0,10251.9625,10251.9625
2021,39,0,22848.9972,22848.9972,0,643.9344,643.9344,0,22205.0628,22205.0628
2021,39,0,3200.8057,3200.8057,0,73.9672,73.9672,0,3126.8385,3126.8385
2021,39,0,5473.6105,5473.6105,0,160.8838,160.8838,0,5312.7267,5312.7267
2021,39,0,5803.5483,5803.5483,0,171.2494,171.2494,0,5632.2989,5632.2989
2021,39,0,8425.115,8425.115,0,244.3399,244.3399,0,8180.7751,8180.7751
2021,39,2.5393,1.0706,3.6099,.0389,.0328,.0717,2.5004,1.0378,3.5382
2021,39,5.4027,.8388,6.2415,.0534,.0238,.0772,5.3493,.815,6.1643
2021,39,5.5817,6.9802,12.5619,.0866,.1977,.2843,5.4951,6.7825,12.2776
